Company,Sales,Profit
Everest Traders,4520,610
Himalayan Foods,8790,1320
Annapurna Steel,15230,2140
Gorkha Textiles,6340,780
Lumbini Cement,12480,1690
Kathmandu Motors,21750,3480
Pokhara Plastics,3980,420
Sagarmatha Tea,5620,730
Bagmati Chemicals,9340,1180
Janaki Garments,7120,940
Machhapuchhre Mills,11250,1570
Rara Beverages,4870,560
Chitwan Agro,6930,810
Terai Sugar,18400,2760
Kailash Paper,5240,620
Dhaulagiri Iron,14680,2050
Manaslu Cables,8250,1140
Langtang Dairy,9870,1290
Mustang Apparel,4310,480
Bardiya Timber,3760,390
Nepal Ceramics,7480,970
Siddhartha Pharma,16920,2380
Trishuli Power,24350,4120
Karnali Mines,19870,2640
Koshi Fisheries,5130,610
Ganesh Electronics,13460,1830
Buddha Air Parts,22140,3520
Solu Cement,11890,1470
Rasuwa Herbals,3420,310
Palpa Furniture,4980,570
Illam Tea Estate,8640,1160
Birat Polymers,6270,720
Nuwakot Foods,5810,640
Dolpa Wool,2940,240
Jumla Apples,3580,380
Sindhu Steelworks,17230,2410
Makalu Glass,9120,1230
Kanchan Paints,10480,1360
Bhotekoshi Hydro,26340,4680
Tilicho Textiles,7690,890
Rapti Rubber,6150,740
Narayani Oils,12730,1780
Seti Packaging,5470,590
Sunkoshi Cement,15890,2230
Marsyangdi Power,23180,3760
Arun Valley Agro,4260,460
Barun Bricks,3310,290
Gandaki Plywood,8930,1210
Kali Gandaki Steel,18650,2540
Phewa Foods,6820,810
Begnas Bottling,3940,420
Shivapuri Spices,4710,530
Nagarkot Coffee,5290,610
Dhading Poultry,7360,880
Kavre Dairy,8140,1090
Ramechhap Iron,13920,1950
Okhaldhunga Mills,6580,760
Bhojpur Handicrafts,2870,240
Taplejung Cardamom,4430,470
Dhankuta Foods,5960,690
Sarlahi Sugar,16240,2280
Mahottari Rice,11470,1520
Rautahat Jute,6890,830
Parsa Plastics,9530,1240
Bara Cement,20180,2870
Nawalpur Agro,7240,890
Kapilvastu Grains,8670,1130
Dang Foods,5380,620
Banke Textiles,6740,780
Surkhet Herbals,4190,430
Jajarkot Minerals,10360,1420
Salyan Timber,5720,640
Rukum Stone,3860,390
Baglung Metals,12140,1680
Myagdi Hydro,21630,3240
Parbat Foods,4580,510
Syangja Dairy,7910,1020
Tanahun Cement,14270,1960
Gulmi Coffee,3690,340
Arghakhanchi Mills,6410,750
Rolpa Agro,5170,580
Pyuthan Poultry,4820,490
Bajura Wool,2760,210
Achham Herbals,3520,360
Doti Timber,4060,430
Kailali Rice,11830,1610
Kanchanpur Sugar,15340,2190
Dadeldhura Foods,5640,640
Baitadi Crafts,3180,290
Darchula Stone,2650,180
Solukhumbu Treks,9280,1240
Khumbu Outfitters,7530,940
Thamel Exports,13680,1870
Patan Metalcraft,6120,720
Bhaktapur Pottery,4740,510
Lalitpur Logistics,8460,1080
Newroad Retail,10920,1450
Balaju Industries,12570,1730
Hetauda Refinery,28450,5120
Butwal Motors,19240,2760
